nom_equipement,port,interface_netwk,isis_level,isis_metric
PTN00821,1/1/2,TO_PTN00335_LAG_20,1,10
PTN00486,1/1/3,TO_PTN00488_LAG21,1,10
PTN00108,5/1/8,TO_PTN01452_LAG24 ,1,10
PTN02295,1/1/3,TO_PTN00122_LAG-21,1,10
PTN00970,1/4/1,TO_PTN00110_6/2/1,non trouve,non trouve
PTN00203,1/1/2,TO_PTN00204_LAG_21,1,10
PTN00216,3/1/1,TO_PTN00219_1/1/1,1,10
PTN00819,1/1/1,TO_PTN00007_1/1/3,1,10
PTN00187,1/1/2,TO_PTN00016_LAG21,1,10
PTN02291,1/3/3,TO_PTN00110_6/2/14,1,20
PTN02287,3/1/21,TO_PTN01422_LAG1,1,100
PTN01834,1/2/5,TO_PTN000774_2/1/3,NA,NA
PTN00611,4/2/8,TO_PTN01778_1/1/1,NA,NA
PTN01878,1/2/5,TO_PTN01877_1/2/5,non trouve,non trouve
PTN00561,1/8/1,TO_PTN00810_3/2/3,1,100
PTN01469,1/7/8,TO_PTN02377_2/2/2,1,100
PTN00116,7/1/3,TO_PTN01085_LAG21,1,10
PTN00243,3/1/19,TO_PTN00497_1/1/7,NA,NA
PTN00606,3/2/10,TO_PTN01208_1/4/8,1,2000
PTN02375,1/1/3,TO_PTN02378_1/2/1,1,100
PTN00277,4/2/19,TO_PTN00961_1/1/7,NA,NA
PTN00566,5/2/6,TO_PTN00057_LAG_21,1,10
PTN00053,1/1/2,TO_PTN00015_LAG_20,1,10
PTN02275,1/5/1,TO_PTN01008_3/2/7,non trouve,non trouve
PTN00266,2/1/1,TO_PTN00269_LAG_23,1,10
PTN01863,1/2/5,TO_PTN02283_4/1/1,1,10
PTN00686,1/1/1,TO_PTN00333_LAG20,1,10
PTN00834,1/4/7,TO_PTN00325_4/2/18,non trouve,non trouve
PTN00835,2/1/3,TO_PTN00319_LAG20,1,10
PTN00458,4/1/18,TO_PTN01015_1/5/7,non trouve,non trouve
PTN00014,1/1/2,TO_PTN00047_LAG24,1,11
PTN00341,5/1/11,TO_PTN00637_1/1/7,NA,NA
PTN00897,2/1/4,TO_PTN00644_LAG-21,1,10
PTN00114,4/1/23,TO_PTN01010_1/1/7,NA,NA
PTN01236,1/1/2,TO_PTN00066_LAG21,1,10
PTN02267,1/1/1,TO_PTN01912_1/1/3,NA,NA
PTN00835,2/1/2,TO_PTN01003_LAG21,1,10
PTN00480,5/1/3,TO_PTN00818_1/1/7,non trouve,non trouve
PTN00109,4/1/4,TO_PTN00135_LAG_21,1,20
PTN00101,4/1/1,TO_PTN00107_3/1/1,1,100
PTN01295,1/1/1,TO_PTN01294_1/2/1,NA,NA
PTN00223,5/1/19,TO_PTN02399_1/1/3,non trouve,non trouve
PTN00816,1/1/7,TO_PTN00480_4/2/17,1,100
PTN02395,3/1/3,TO_PTN01417_1/4/5,1,1000
PTN00160,1/1/7,TO_PTN00021_6/1/19,NA,NA
PTN00910,5/1/5,TO_PTN02053_1/1/7,NA,NA
PTN00972,2/1/2,TO_PTN01411_LAG22,1,40
PTN00188,2/1/2,TO_PTN00189_LAG_21,non trouve,non trouve
PTN00972,3/2/20,TO_PTN02445_1/1/1,non trouve,non trouve
PTN02367,3/1/5,TO_PTN01410_1/2/1,1,1000
PTN01819,1/1/8,TO_PTN01807_1/2/2,1,1000
PTN00141,1/1/4,TO_PTN00142_LAG_21,1,10
PTN00255,1/1/3,TO_PTN00972_1/1/1,1,1000
PTN00068,5/1/2,TO_PTN01443_3/2/4,1,100
PTN00595,1/1/7,TO_PTN00337_SYNCHRO:101,NA,NA
PTN01182,1/1/7,TO_PTN00041_6/1/20,NA,NA
PTN00095,10/2/3,TO_PTN00096_LAG25,1,11
PTN00648,1/1/2,TO_PTN01402_LAG_21,1,40
PTN02172,1/1/1,TO_PTN00485_4/2/18,non trouve,non trouve
PTN01454,1/3/6,TO_PTN02324_1/2/2,1,1000
PTN02464,2/1/1,TO_PTN00048_LAG22,1,10
PTN00123,2/1/3,TO_PTN00124_LAG21,1,1000
PTN00096,9/1/4,TO_PTN00543_LAG26,1,40
PTN01273,1/1/7,TO_PTN01006_3/2/11,NA,NA
PTN01999,1/1/1,TO_PTN00666_4/2/2,non trouve,non trouve
PTN00903,2/2/1,TO_PTN00315_4/2/1,1,100
PTN02327,1/1/1,TO_PTN00123_3/2/15,NA,NA
PTN00204,2/1/3,TO_PTN00205_LAG_20,1,10
PTN01912,1/1/1,TO_PTN00128_3/1/21,NA,NA
PTN00542,3/2/2,TO_PTN00135_3/1/2,1,90
PTN00827,1/1/7,TO_PTN00612_4/2/2,1,200
PTN00568,3/1/7,TO_PTN02072_1/5/7,non trouve,non trouve
PTN02194,1/2/5,TO_PTN00679_3/2/5,1,100
PTN00602,1/4/8,TO_PTN00351_4/2/2,1,500
PTN00932,2/2/1,TO_PTN00935_3/2/1,1,100
PTN00239,2/1/1,TO_PTN00238_LAG20,1,11
PTN00463,3/1/1,TO_PTN01093_1/1/5,1,10
PTN00207,2/1/1,TO_PTN00206_LAG_20,1,10
PTN02356,3/1/20,TO_PTN01415_1/7/5,1,10
PTN00262,4/1/5,TO_PTN01429_1/1/1,1,100
PTN00774,10/1/7,TO_PTN00773_LAG20,1,10
PTN00835,1/1/3,TO_PTN01003_LAG21,1,10
PTN00001,2/1/3,TO_PTN00002_LAG_26_WDM_FTTA,1,10
PTN00766,1/1/2,TO_PTN00259_LAG_23,1,10
PTN00810,4/1/2,TO_PTN00560_3/1/1,1,100
PTN00918,3/1/7,TO_PTN00680_3/2/3,1,100
PTN00271,4/2/2,TO_PTN01882_1/1/8,non trouve,non trouve
PTN01077,4/1/2,TO_PTN00110_LAG24,1,10
PTN00022,7/1/3,TO_PTN00021_LAG20,1,11
PTN00095,9/2/1,TO_PTN00106_LAG_22,1,10
PTN00004,8/1/1,TO_PTN00062_LAG_22,1,10
PTN00134,2/1/1,TO_PTN00274_LAG_20,1,10
PTN00164,1/5/8,TO_PTN01381_1/1/7,NA,NA
PTN02200,bundle-ppp-1/2.1,TO_PTN02362_bundle-ppp-1/2/6,NA,NA
PTN00483,1/1/3,TO_PTN00027_LAG25,1,10
PTN00121,2/1/3,TO_PTN00919_2/1/1,1,10
PTN01014,1/1/7,TO_PTN00458_LAG2,non trouve,non trouve
PTN00911,4/2/2,TO_PTN01272_1/1/7,NA,NA
PTN01827,1/1/1,TO_PTN00894_4/2/3,1,1000
PTN00063,5/1/4,TO_PTN00064_LAG21,1,12
PTN00051,2/1/2,TO_PTN00050_LAG21,1,10
PTN02181,1/1/8,TO_PTN01076_1/4/6,1,1000
PTN00019,4/1/19,TO_PTN00576_1/1/7,NA,NA
PTN02223,1/3/1,TO_PTN00667_4/2/6,non trouve,non trouve
PTN00719,1/1/8,TO_PTN00718_1/1/7,NA,NA
PTN00318,5/1/11,TO_PTN00555_1/1/7,NA,NA
PTN00278,4/1/21,TO_PTN02359_1/1/7,NA,NA
