id_lien,trafic_max,trafic_out,tdc,equipement,interface_equipement,role_A,configuration_A,client,interface_client,role_B,configuration_B,capacite_lien,isis_level,isis_metric,region_exploitation,date,intervalle_charge
PTN00247_PTN00246,1.44389990234375,1.44389990234375,3.6097497558593745,PTN00247,lag-20,B,7750-SR7,PTN00246,lag-20,B,7750-SR7,40,1,10,WST,2022-08-01,Inf 70%
PTN00247_PTN00246,1.44389990234375,1.44389990234375,3.6097497558593745,PTN00247,lag-20,B,7750-SR7,PTN00246,lag-20,B,7750-SR7,40,1,10,WST,2022-08-01,Inf 70%
PTN00247_PTN00246,1.44389990234375,1.44389990234375,3.6097497558593745,PTN00247,lag-20,B,7750-SR7,PTN00246,lag-20,B,7750-SR7,40,1,10,WST,2022-08-01,Inf 70%
PTN00247_PTN00246,1.44389990234375,1.44389990234375,3.6097497558593745,PTN00247,lag-20,B,7750-SR7,PTN00246,lag-20,B,7750-SR7,40,1,10,WST,2022-08-01,Inf 70%
PTN00026_PTN00507,6.59427978515625,6.59427978515625,65.94279785156249,PTN00026,lag-27,A,7750-SR12,PTN00507,lag-27,A,7750-SR12,10,1,20,WST,2022-08-01,Inf 70%
PTN01446_PTN02406,6.68558837890625,6.68558837890625,16.713970947265626,PTN01446,lag-22,B,7750-SR7,PTN02406,lag-22,B,7750-SR7,40,1,10,CTA,2022-08-01,Inf 70%
PTN01446_PTN02406,6.68558837890625,6.68558837890625,16.713970947265626,PTN01446,lag-22,B,7750-SR7,PTN02406,lag-22,B,7750-SR7,40,1,10,CTA,2022-08-01,Inf 70%
PTN01446_PTN02406,6.68558837890625,6.68558837890625,16.713970947265626,PTN01446,lag-22,B,7750-SR7,PTN02406,lag-22,B,7750-SR7,40,1,10,CTA,2022-08-01,Inf 70%
PTN01446_PTN02406,6.68558837890625,6.68558837890625,16.713970947265626,PTN01446,lag-22,B,7750-SR7,PTN02406,lag-22,B,7750-SR7,40,1,10,CTA,2022-08-01,Inf 70%
PTN00105_PTN00100,2.52767626953125,0.034930023193359375,12.63838134765625,PTN00105,lag-21,B,7750-SR7,PTN00100,lag-21,B,7750-SR7,20,1,10,MED,2022-08-01,Inf 70%
PTN00105_PTN00100,2.52767626953125,0.034930023193359375,12.63838134765625,PTN00105,lag-21,B,7750-SR7,PTN00100,lag-21,B,7750-SR7,20,1,10,MED,2022-08-01,Inf 70%
